Vserver;Volume;Capacite;Utilise
"<a href=""index.php?vserver=hp_as_px_d2_50&amp;volume=vol_hp_as_px_d2_50_data"">hp_as_px_d2_50</a>";vol_hp_as_px_d2_50_data;54GB;2.81GB
"<a href=""index.php?vserver=hp_as_px_d2_50&amp;volume=vol_hp_as_px_d2_50_logs"">hp_as_px_d2_50</a>";vol_hp_as_px_d2_50_logs;54GB;386.7MB
"<a href=""index.php?vserver=hp_as_re_d2_50&amp;volume=vol_hp_as_re_d2_50_data"">hp_as_re_d2_50</a>";vol_hp_as_re_d2_50_data;610GB;253.6GB
"<a href=""index.php?vserver=hp_as_re_d2_50&amp;volume=vol_hp_as_re_d2_50_logs"">hp_as_re_d2_50</a>";vol_hp_as_re_d2_50_logs;145GB;15.45GB
"<a href=""index.php?vserver=hp_as_rh_d2_50&amp;volume=vol_hp_as_rh_d2_50_data"">hp_as_rh_d2_50</a>";vol_hp_as_rh_d2_50_data;110GB;57.02GB
"<a href=""index.php?vserver=hp_as_rh_d2_50&amp;volume=vol_hp_as_rh_d2_50_logs"">hp_as_rh_d2_50</a>";vol_hp_as_rh_d2_50_logs;54GB;133.1MB
"<a href=""index.php?vserver=hp_as_ri_d2_50&amp;volume=vol_hp_as_ri_d2_50_data"">hp_as_ri_d2_50</a>";vol_hp_as_ri_d2_50_data;3TB;393.1GB
"<a href=""index.php?vserver=hp_as_ri_d2_50&amp;volume=vol_hp_as_ri_d2_50_logs"">hp_as_ri_d2_50</a>";vol_hp_as_ri_d2_50_logs;54GB;2.77GB
"<a href=""index.php?vserver=hp_as_rp_d2_50&amp;volume=vol_hp_as_rp_d2_50_data"">hp_as_rp_d2_50</a>";vol_hp_as_rp_d2_50_data;898GB;512.7GB
"<a href=""index.php?vserver=hp_as_rp_d2_50&amp;volume=vol_hp_as_rp_d2_50_logs"">hp_as_rp_d2_50</a>";vol_hp_as_rp_d2_50_logs;144GB;1.37GB
"<a href=""index.php?vserver=hp_as_st_d2_50&amp;volume=vol_hp_as_st_d2_50_data"">hp_as_st_d2_50</a>";vol_hp_as_st_d2_50_data;234GB;47.19GB
"<a href=""index.php?vserver=hp_as_st_d2_50&amp;volume=vol_hp_as_st_d2_50_logs"">hp_as_st_d2_50</a>";vol_hp_as_st_d2_50_logs;54GB;3.69GB
"<a href=""index.php?vserver=hp_as_ut_d2_50&amp;volume=vol_hp_as_ut_d2_50_data"">hp_as_ut_d2_50</a>";vol_hp_as_ut_d2_50_data;305GB;21.21GB
"<a href=""index.php?vserver=hp_as_ut_d2_50&amp;volume=vol_hp_as_ut_d2_50_logs"">hp_as_ut_d2_50</a>";vol_hp_as_ut_d2_50_logs;108GB;549.2MB
"<a href=""index.php?vserver=hp_test_d2_50&amp;volume=vol_hp_test_d2_50_logs"">hp_test_d2_50</a>";vol_hp_test_d2_50_logs;65GB;22.18MB
"<a href=""index.php?vserver=pd_as_an_d2_50&amp;volume=vol_pd_as_an_d2_50_data"">pd_as_an_d2_50</a>";vol_pd_as_an_d2_50_data;100GB;27.77MB
"<a href=""index.php?vserver=pd_as_an_d2_50&amp;volume=vol_pd_as_an_d2_50_logs"">pd_as_an_d2_50</a>";vol_pd_as_an_d2_50_logs;20GB;12.24MB
"<a href=""index.php?vserver=pd_as_ap_d2_50&amp;volume=vol_pd_as_ap_d2_50_data"">pd_as_ap_d2_50</a>";vol_pd_as_ap_d2_50_data;1.17TB;232.8GB
"<a href=""index.php?vserver=pd_as_ap_d2_50&amp;volume=vol_pd_as_ap_d2_50_logs"">pd_as_ap_d2_50</a>";vol_pd_as_ap_d2_50_logs;32GB;7.04MB
