URL_light;Volume;env;quartier;dc;zone;type;CapFS;UseFS;Use%
"vserver=pd_as_re_d2_50&amp;volume=vol_pd_as_re_d2_50_data";vol_pd_as_re_d2_50_data;pd;RE;d2;Int;data;18.0;6.62;36.78
"vserver=pd_as_re_d2_50&amp;volume=vol_pd_as_re_d2_50_logs";vol_pd_as_re_d2_50_logs;pd;RE;d2;Int;logs;18.0;3.37;18.72
"vserver=pd_aus_rfs_mad&amp;volume=vol_pd_aus_rfs_mad";vol_pd_aus_rfs_mad;pd;RFS_MAD;d1;Int;aus;14650.0;0.7517;0.01
"vserver=pd_as_rh_d1_00&amp;volume=vol_pd_as_rh_d1_00_data";vol_pd_as_rh_d1_00_data;pd;RH;d1;Dmz;data;750.0;65.54;8.74
"vserver=pd_as_rh_d1_00&amp;volume=vol_pd_as_rh_d1_00_logs";vol_pd_as_rh_d1_00_logs;pd;RH;d1;Dmz;logs;18.0;5.75;31.94
"vserver=pd_as_rh_d1_50&amp;volume=vol_pd_as_rh_d1_50_data";vol_pd_as_rh_d1_50_data;pd;RH;d1;Int;data;18.0;1.2;6.67
"vserver=pd_as_rh_d1_50&amp;volume=vol_pd_as_rh_d1_50_logs";vol_pd_as_rh_d1_50_logs;pd;RH;d1;Int;logs;18.0;0.3417;1.9
"vserver=pd_as_rh_d2_50&amp;volume=vol_pd_as_rh_d2_50_data";vol_pd_as_rh_d2_50_data;pd;RH;d2;Int;data;10.0;0.00572;0.06
"vserver=pd_as_rh_d2_50&amp;volume=vol_pd_as_rh_d2_50_logs";vol_pd_as_rh_d2_50_logs;pd;RH;d2;Int;logs;5.0;0.00329;0.07
"vserver=pd_as_ri_d1_00&amp;volume=vol_pd_as_ri_d1_00_data";vol_pd_as_ri_d1_00_data;pd;RI;d1;Dmz;data;12000.0;3210.0;26.75
"vserver=pd_as_ri_d1_00&amp;volume=vol_pd_as_ri_d1_00_logs";vol_pd_as_ri_d1_00_logs;pd;RI;d1;Dmz;logs;70.0;5.05;7.21
"vserver=pd_as_ri_d1_50&amp;volume=vol_pd_as_ri_d1_50_data";vol_pd_as_ri_d1_50_data;pd;RI;d1;Int;data;3910.0;2740.0;70.08
"vserver=pd_as_ri_d1_50&amp;volume=vol_pd_as_ri_d1_50_logs";vol_pd_as_ri_d1_50_logs;pd;RI;d1;Int;logs;18.0;1.13;6.28
"vserver=pd_as_ri_d2_00&amp;volume=vol_pd_as_ri_d2_00_data";vol_pd_as_ri_d2_00_data;pd;RI;d2;Dmz;data;100.0;2.48;2.48
"vserver=pd_as_ri_d2_00&amp;volume=vol_pd_as_ri_d2_00_logs";vol_pd_as_ri_d2_00_logs;pd;RI;d2;Dmz;logs;5.0;0.9472;18.94
"vserver=pd_as_ri_d2_50&amp;volume=vol_pd_as_ri_d2_50_data";vol_pd_as_ri_d2_50_data;pd;RI;d2;Int;data;50.0;0.00832;0.02
"vserver=pd_as_ri_d2_50&amp;volume=vol_pd_as_ri_d2_50_logs";vol_pd_as_ri_d2_50_logs;pd;RI;d2;Int;logs;10.0;0.00396;0.04
"vserver=pd_as_rp_d1_00&amp;volume=vol_pd_as_rp_d1_00_data";vol_pd_as_rp_d1_00_data;pd;RP;d1;Dmz;data;72.0;12.12;16.83
"vserver=pd_as_rp_d1_00&amp;volume=vol_pd_as_rp_d1_00_logs";vol_pd_as_rp_d1_00_logs;pd;RP;d1;Dmz;logs;100.0;7.66;7.66
"vserver=pd_as_rp_d1_50&amp;volume=vol_pd_as_rp_d1_50_data";vol_pd_as_rp_d1_50_data;pd;RP;d1;Int;data;21000.0;7650.0;36.43
"vserver=pd_as_rp_d1_50&amp;volume=vol_pd_as_rp_d1_50_logs";vol_pd_as_rp_d1_50_logs;pd;RP;d1;Int;logs;54.0;2.49;4.61
"vserver=pd_as_rp_d2_00&amp;volume=vol_pd_as_rp_d2_00_data";vol_pd_as_rp_d2_00_data;pd;RP;d2;Dmz;data;50.0;1.77;3.54
"vserver=pd_as_rp_d2_00&amp;volume=vol_pd_as_rp_d2_00_logs";vol_pd_as_rp_d2_00_logs;pd;RP;d2;Dmz;logs;18.0;0.8528;4.74
"vserver=pd_as_rp_d2_50&amp;volume=vol_pd_as_rp_d2_50_data";vol_pd_as_rp_d2_50_data;pd;RP;d2;Int;data;10.0;1.14;11.4
"vserver=pd_as_rp_d2_50&amp;volume=vol_pd_as_rp_d2_50_logs";vol_pd_as_rp_d2_50_logs;pd;RP;d2;Int;logs;5.0;0.03216;0.64
"vserver=pd_as_st_d1_00&amp;volume=vol_pd_as_st_d1_00_data";vol_pd_as_st_d1_00_data;pd;ST;d1;Dmz;data;400.0;92.83;23.21
"vserver=pd_as_st_d1_00&amp;volume=vol_pd_as_st_d1_00_logs";vol_pd_as_st_d1_00_logs;pd;ST;d1;Dmz;logs;94.0;47.8;50.85
"vserver=pd_as_st_d1_50&amp;volume=vol_pd_as_st_d1_50_data";vol_pd_as_st_d1_50_data;pd;ST;d1;Int;data;350.0;143.4;40.97
"vserver=pd_as_st_d1_50&amp;volume=vol_pd_as_st_d1_50_logs";vol_pd_as_st_d1_50_logs;pd;ST;d1;Int;logs;21.0;10.15;48.33
"vserver=pd_as_st_d2_00&amp;volume=vol_pd_as_st_d2_00_data";vol_pd_as_st_d2_00_data;pd;ST;d2;Dmz;data;10.0;0.6776;6.78
"vserver=pd_as_st_d2_00&amp;volume=vol_pd_as_st_d2_00_logs";vol_pd_as_st_d2_00_logs;pd;ST;d2;Dmz;logs;5.0;0.06791;1.36
"vserver=pd_as_st_d2_50&amp;volume=vol_pd_as_st_d2_50_data";vol_pd_as_st_d2_50_data;pd;ST;d2;Int;data;50.0;0.00805;0.02
